Note: The following shows the ratings of three different participants in the same questionnaire.

Questionnaire ID	Colors	Shapes	Materials	Textures	Categories	Appearances	Actions	Biological States	Emotional States	Overall Emotions	Quantities	Interaction Relationships	Spatial Relationships	Positions in the figure	Layouts	Occlusion Relationships	Density Relationships	Environments	Relative Proportions	Styles	Lighting	Photographic Compositions
1486	4	4	4	4	4	4	5	5	4	4	3	4	4	4	4	4	4	4	4	4	4	4
1487	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	2	5	5	5	5	5	5
1487	3	3	3	3	5	4	5	4	4	4	5	4	3	3	3	4	4	3	3	5	3	4
1487	3	3	3	3	4	3	5	3	5	5	4	2	3	3	3	3	3	3	3	2	3	3
1488	4	4	4	4	5	5	4	5	5	5	5	4	4	4	4	4	4	4	4	4	5	5
1488	3	4	5	5	5	3	5	5	5	5	5	4	4	3	3	5	3	5	3	4	4	3
1488	5	5	4	4	5	5	5	5	5	5	4	5	5	3	4	4	4	5	5	5	4	4
1489	5	5	3	3	5	5	3	3	3	3	5	4	4	3	4	4	3	3	4	5	3	3
1489	3	5	5	4	4	4	3	2	2	3	3	3	3	3	3	3	3	3	5	5	3	3
1489	4	3	3	3	5	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
1490	5	2	4	5	5	4	5	5	3	4	4	5	4	4	4	4	4	5	4	4	5	5
1490	3	3	3	3	4	3	4	3	3	3	3	4	3	3	4	3	3	3	3	2	3	3
1490	2	2	3	4	4	3	4	4	3	3	3	3	3	3	3	3	2	4	3	3	4	3
1491	3	3	3	3	4	3	2	3	3	3	4	2	4	4	4	3	4	3	3	3	3	3
1491	3	3	2	2	4	3	4	4	4	4	3	4	3	2	2	3	3	4	3	3	3	4
1491	4	4	4	4	4	4	4	4	5	4	4	5	5	3	4	3	3	5	4	4	4	4
1492	3	3	4	3	4	3	5	4	3	3	3	4	3	4	4	4	3	3	3	3	4	4
1492	5	5	5	5	5	5	5	3	5	5	4	5	5	5	5	5	5	5	5	5	5	5
1492	5	4	4	3	5	4	2	3	2	4	4	3	3	3	3	3	3	3	4	4	3	4
1493	5	5	5	5	5	5	5	4	5	4	5	5	3	5	3	3	4	5	3	4	4	4
1493	4	3	4	4	4	4	3	4	4	4	3	3	3	3	3	2	3	4	2	4	4	4
1493	4	4	4	4	4	4	4	4	3	3	4	5	4	4	4	4	3	3	4	4	2	2
1494	5	5	4	4	4	4	3	3	3	3	4	3	3	3	3	3	3	3	4	4	3	3
1494	3	4	3	4	4	4	3	3	3	4	3	4	3	4	4	4	3	3	4	5	3	4
1494	4	5	5	5	5	5	3	3	4	4	3	4	4	4	4	4	4	3	4	4	4	4
1495	3	4	4	3	4	4	2	4	3	3	3	4	3	3	3	4	3	3	4	4	4	4
